,contributions,centrality,location,totalCommitContributions,totalIssueContributions,totalPullRequestReviewContributions,totalRepositoriesWithContributedCommits,totalRepositoriesWithContributedIssues,member
ConderS,28,8.559529109267191e-05,NYC,0,0,0,0,0,True
Coneko,1,0.0,,0,0,0,0,0,False
Connor1996,5,0.0,[],[],[],[],[],[],False
Connormiha,38,0.0,"Cyprus, Limassol",7,0,0,1,0,False
Constantine-Fry,13,0.0,Amsterdam,0,0,0,0,0,False
Corei13,1,0.0,,0,0,0,0,0,False
CosmicYogi,1,0.0,,0,0,0,0,0,False
Crash--,4,0.0,Nice,0,0,0,0,0,False
Crjax,1,0.0,[],[],[],[],[],[],False
Crysis21,1,0.0,[],[],[],[],[],[],False
Cyan4973,4083,0.0,[],[],[],[],[],[],False
CyberMew,2,0.0,[],[],[],[],[],[],False
Cygra,2,0.0,[],[],[],[],[],[],False
CyrusZei,1,0.0,[],[],[],[],[],[],False
DABH,1,0.0,[],[],[],[],[],[],False
DJCordhose,2,0.0,,0,0,0,0,0,False
DMortens,5,0.0,,0,0,0,0,0,False
DSouzaM,120,0.0,"Ontario, Canada",0,0,0,0,0,False
DZamataev,13,0.0,"Moscow, Russia",0,0,0,0,0,False
Daggtex,18,0.0,,0,0,0,0,0,False
Dahlgren,1,0.0,[],[],[],[],[],[],False
Daij-Djan,24,0.0002612296470189516,Germany,0,1,0,0,1,False
DailyMats,2,3.182571230504539e-06,,0,0,0,0,0,False
Dakuan,2,0.0,Hitchin,0,0,0,0,0,False
DaleLJefferson,3,0.0,UK,0,0,0,0,0,False
DallasCarraher,1,0.0,[],[],[],[],[],[],False
Dalzhim,1,0.0,Montréal,0,0,0,0,0,False
DamonOehlman,1,0.0,"Sydney, Australia",0,0,0,0,0,False
DanArthurGallagher,2,0.0,"Milano, Italia",0,0,0,0,0,False
DanNixon,5,0.0,[],[],[],[],[],[],False
DaniAkash,6,0.0,[],[],[],[],[],[],False
Daniel-B-Smith,2,0.0,[],[],[],[],[],[],False
Daniel15,62,0.007376803384145133,"Palo Alto, CA",5,0,3,3,0,False
Daniel9z,20,5.1333239176573334e-05,,0,0,0,0,0,False
DanielBaulig,2,0.0,"USA, California",0,0,0,0,0,True
DanielG,4,0.0,"Innsbruck, Austria",0,0,0,0,0,False
DanielGrech,1,0.0,[],[],[],[],[],[],False
DanielHabib,1,0.0,"Brooklyn, NY",0,0,0,0,0,False
DanielHeckrath,1,0.0,[],[],[],[],[],[],False
DanielRHayes,1,0.0,"Atlanta, GA",0,0,0,0,0,False
DanielRuf,3,0.00016730986261340666,Germany,0,0,0,0,0,False
DanilBaibak,1,0.0,Berlin,0,0,0,0,0,False
Danon,2,0.0,[],[],[],[],[],[],False
DarkScorpion,10,0.0,,0,0,0,0,0,False
DaveCTurner,2,1.726585039060374e-05,"Yorkshire, UK",0,0,0,0,0,False
DaveFet,1,0.0,[],[],[],[],[],[],False
DavidBarry,12,0.0,"Portland, OR",0,0,0,0,0,False
DavidCallahan,14,0.0005430383710226035,Seattle,0,0,0,0,0,False
DavidEichmann,14,0.0,,0,0,0,0,0,False
DavidJWHolmes,1,0.0,[],[],[],[],[],[],False
DavidMueller0,39,0.0,,0,0,0,0,0,False
DawnWright,1,0.0,[],[],[],[],[],[],False
Dcallies,6,0.0,[],[],[],[],[],[],False
DeDuckProject,2,0.0,"Tel Aviv, Israel",0,0,0,0,0,False
DeadEnglish,1,0.0,[],[],[],[],[],[],False
DeanKalla,6,0.0,,0,0,0,0,0,False
Delapouite,1,0.0,Nantes / Lyon - France,0,0,0,0,0,False
DemiMarie,9,0.0,"Knoxville, TN",0,0,0,0,0,False
DenTelezhkin,83,0.0,"Ukraine, Vinnitsya",0,0,0,0,0,False
DenrizSusam,10,0.001053313643011551,Berlin,2,0,0,1,0,False
DerekSchenk,1,0.0,[],[],[],[],[],[],False
Derrreks,32,1.0304510532921528e-07,,2,0,0,1,0,False
Developerayo,2,0.0,[],[],[],[],[],[],False
DhavalKapil,5,0.0,"Atlanta, GA",1,0,0,1,0,False
DiegoCardoso,1,0.0,[],[],[],[],[],[],False
Dieterbe,2,0.0,[],[],[],[],[],[],False
DimitryAndric,2,0.0,[],[],[],[],[],[],False
DimitryDushkin,4,0.0,Moscow,0,0,0,0,0,False
DinoV,1,0.0,"Seattle, WA",0,0,0,0,0,False
DiscoNova,1,0.0,"Helsinki, Finland",0,0,0,0,0,False
DkBai,1,0.0,[],[],[],[],[],[],False
DmitrySoshnikov,134,0.002683405884703109,,0,0,0,0,0,False
DoctorQ,1,0.0,beijing,0,0,0,0,0,False
Doko-Demo-Doa,1,0.0,"Hanoi, Vietnam",1,0,0,1,0,False
Dominator008,2,0.0,[],[],[],[],[],[],False
DominicTobias,1,0.0,[],[],[],[],[],[],False
DominikPalo,1,0.0,[],[],[],[],[],[],False
DorianZheng,10,0.0,[],[],[],[],[],[],False
Downchuck,1,0.0,[],[],[],[],[],[],False
DrDanRyan,1,0.0,[],[],[],[],[],[],False
DragonMinded,2,0.0,Bay Area,0,0,0,0,0,False
DrewML,7,0.0,"Austin, TX",0,0,0,0,0,False
Drewbi,5,0.0,[],[],[],[],[],[],False
Drewpom,1,0.0,[],[],[],[],[],[],False
Drup,1,0.0,,1,0,0,1,0,False
Dubes,1,0.0,[],[],[],[],[],[],False
DurhamG,3,3.0207710207522357e-05,,0,0,0,0,0,False
DylanZA,31,0.00012537537346358503,,27,0,0,3,0,False
EFLql,1,0.0,,0,0,0,0,0,False
EJohnF,2,0.0,[],[],[],[],[],[],False
Eazymov,1,0.0,Yekaterinburg,0,0,0,0,0,False
EddyBorja,13,0.0,,0,0,0,0,0,False
EduardoRFS,2,0.0,,2,4,0,1,1,False
EdwaRen,1,0.0,[],[],[],[],[],[],False
EdwardBetts,1,0.0,"Cambridge, UK",0,0,0,0,0,False
EgorShum,1,0.0,,1,0,0,1,0,False
EivindArvesen,1,0.0,[],[],[],[],[],[],False
Elrendio,1,0.0,[],[],[],[],[],[],False
EmaSuriano,1,0.0,[],[],[],[],[],[],False
Emile-Filteau,1,0.0,Montreal,0,0,0,0,0,False
EnderSmith,1,0.0,[],[],[],[],[],[],False
Engil,1,0.0,Zürich,0,0,0,0,0,False
English3000,1,0.0,San Francisco,0,0,0,0,0,False
EnoahNetzach,12,0.0005165785531525777,Fohnsdorf,0,0,0,0,0,False
EnzoTheBrown,1,0.0,[],[],[],[],[],[],False
Eric-Wright,1,0.0,"Seattle, WA",0,0,0,0,0,True
EricAtPlanGrid,1,0.0,"Portland, OR",1,1,0,1,1,False
EricPonvelle,3,0.0,[],[],[],[],[],[],False
Ericson2314,8,0.008216821320807158,[],[],[],[],[],[],False
ErinZhang123,4,0.0,,0,0,0,0,0,False
ErrorPro,2,0.0,Amsterdam,0,0,0,0,0,False
Esemesek,25,0.00026959051042661775,"Wrocław, Poland",3,1,0,1,1,False
EssamEmad,16,1.3467554292266811e-05,,9,0,0,2,0,False
Et7f3,1,0.0,,1,1,0,1,1,False
Ethan-Arrowood,2,0.0,"Boston, Massachusetts",0,1,0,0,1,False
EthanMarrs,1,0.0,[],[],[],[],[],[],False
Etsukata,2,0.0,[],[],[],[],[],[],False
EuAndreh,1,0.0,,0,0,0,0,0,False
EugenePig,1,0.0,[],[],[],[],[],[],False
EugeneSusla,16,0.0,[],[],[],[],[],[],False
EvanBacon,13,0.0002354953521902827,"East Palo Alto, California",8,0,0,2,0,False
EvanBoyle,1,0.0,[],[],[],[],[],[],False
ExE-Boss,2,0.0,The European Empire,2,0,1,1,0,False
ExplodingCabbage,3,0.0,[],[],[],[],[],[],False
ExtremeMan,326,0.0001135291487963884,[],[],[],[],[],[],False
EyMaddis,2,0.0,[],[],[],[],[],[],False
Eyyub,8,0.0,"Montréal, Canada",0,0,0,0,0,False
EzequielB,1,0.0,[],[],[],[],[],[],False
FBNeal,69,0.0001283355961188145,,1,0,0,1,0,True
FLGMwt,3,0.0003732097881615268,"Chicago, IL",1,0,0,1,0,False
FZambia,1,0.0,"Moscow, Russia",1,0,0,1,0,False
FabianFrank,1,0.0,[],[],[],[],[],[],False
Fabianopb,2,0.0,[],[],[],[],[],[],False
Fabo,37,0.0,"Cagnes-sur-Mer, France",0,0,0,0,0,False
Faboor,1,0.0,[],[],[],[],[],[],False
Faiz-Abbas,80,0.0,,0,0,0,0,0,False
Fanghao,1,0.0,[],[],[],[],[],[],False
Farqd,3,3.46501527362088e-05,[],[],[],[],[],[],False
Favna,1,0.0,[],[],[],[],[],[],False
Feng23,201,2.5815655259783796e-05,[],[],[],[],[],[],False
FeynmanDNA,2,0.0,[],[],[],[],[],[],False
FezVrasta,3,0.00031437236851116645,"Budapest, Hungary (previously in Italy)",1,7,0,1,2,False
FieryRobot,45,8.331529459790416e-05,"Bay Area, CA",7,0,0,1,0,False
Fl0p,1,0.0,,0,0,0,0,0,False
FlightRecorderOfficial,13,0.0,,0,0,0,0,0,False
FocalChord,1,0.0,[],[],[],[],[],[],False
FokkeZB,1,0.0,"Heerenveen, The Netherlands",0,0,0,0,0,False
ForbesLindesay,17,0.0015123205958970081,"London, UK",0,0,0,0,0,False
Foxhoundn,1,0.0,Czech Republic,0,0,0,0,0,False
FrancescoJo,1,0.0,[],[],[],[],[],[],False
FrancisToth,1,0.0,[],[],[],[],[],[],False
FrankChung,1,0.0,[],[],[],[],[],[],False
FredericJacobs,23,0.0,,0,0,0,0,0,False
FtheGFW,1,0.0,[],[],[],[],[],[],False
Fuchida,1,0.0,[],[],[],[],[],[],False
FuegoFro,1,0.0,[],[],[],[],[],[],False
Furizaa,1,0.0,[],[],[],[],[],[],False
Fuuzetsu,184,1.726585039060374e-05,"Tokyo, Japan",0,0,0,0,0,False
G-Rath,19,0.0,New Zealand,18,3,15,1,1,False
GAumala,4,0.0,[],[],[],[],[],[],False
Gabri3l,1,0.0,"Austin, TX",0,0,0,0,0,False
Gabriel439,2,0.0,[],[],[],[],[],[],False
GaloisNeko,1,0.0,Sydney,1,0,0,1,0,False
Gamote,2,0.0,,2,0,0,1,0,False
GantMan,22,0.0007326583133136396,New Orleans,3,0,0,3,0,False
GasimGasimzada,1,0.0,[],[],[],[],[],[],False
Gateworks,196,0.0,,0,0,0,0,0,False
Gatsby-Lee,1,0.0,[],[],[],[],[],[],False
Gautier,4,0.0,"London, UK",0,0,0,0,0,False
GautierT,1,0.0,[],[],[],[],[],[],False
Gedevan-Aleksizde,1,0.0,Tokyo,0,0,0,0,0,False
GeorgeLu97,97,0.0,[],[],[],[],[],[],False
GermaVinsmoke,1,0.0,[],[],[],[],[],[],False
GijsWeterings,4,0.0,"Delft, Netherlands",5,0,0,2,0,False
GioLogist,3,0.0,[],[],[],[],[],[],False
Glavin001,1,0.0,[],[],[],[],[],[],False
GlebShchepa,288,0.00010283263043608611,,0,0,0,0,0,False
Globegitter,7,0.0,,0,0,0,0,0,False
Glurt,1,0.0,"Leeds, United Kingdom",0,0,0,0,0,False
Goom11,7,1.5338037982179994e-05,[],[],[],[],[],[],False
Gordonei,1,0.0,"Cape Town, South Africa",0,0,0,0,0,False
GordyD,6,0.00011955109586379286,Mountain View,0,0,0,0,0,True
GotEmB,4,0.0,[],[],[],[],[],[],False
